frame,family,source_occupied,known_exact_pixels_covered,known_exact_coverage_percent,reliable_assets_used,unresolved_source_pixels,hat,head,scarf_accessory,torso_coat,arms_hands,legs,feet,component_reference_status
10,horizontal_jump_fall,480,33,6.88,f9_head,447,VIEW/POSE_VARIANT REQUIRED,jump_head_f9 EXACT_TRANSLATION,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
11,horizontal_jump_fall,511,0,0.0,,511,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
12,reach_grab_wire,518,0,0.0,,518,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,supplied row index-divergent; geometry diagnostic only
13,reach_grab_wire,410,0,0.0,,410,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
14,reach_grab_wire,479,0,0.0,,479,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
15,reach_grab_wire,410,0,0.0,,410,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
16,crouch_fire,324,43,13.27,f0_hat,281,side_hat_f0 EXACT_TRANSLATION,side_head_f0 NEAR_DUPLICATE_SEAM 34/35,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
17,ladder_face_on_climb,555,0,0.0,,555,VIEW/POSE_VARIANT REQUIRED,OBSCURED in supplied frame17 cut-up,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,supplied row index-divergent; geometry diagnostic only
18,ladder_face_on_climb,548,0,0.0,,548,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
19,ladder_face_on_climb,518,0,0.0,,518,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
20,ladder_face_on_climb,549,0,0.0,,549,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
21,rear_facing_movement,494,0,0.0,,494,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
22,rear_facing_movement,495,0,0.0,,495,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
23,rear_facing_movement,498,0,0.0,,498,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
24,rear_facing_movement,498,0,0.0,,498,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
25,front_menu_interaction,510,27,5.29,f0_foot,483,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,frame0 foot EXACT_TRANSLATION,supplied row index-divergent; geometry diagnostic only
26,rear_doorway_interaction,516,0,0.0,,516,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
27,hidden_object_crouch,369,0,0.0,,369,VIEW/POSE_VARIANT REQUIRED,VIEW/POSE_VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,POSE/VIEW VARIANT REQUIRED,source frame audit only; no isolated cut-up supplied
